微博id,微博正文,原始图片url,被转发微博原始图片url,是否为原创微博,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
IpiSVggyG,【共青团十八届四中全会在京举行】会议号召深入学习宣传贯彻党的十九届四中全会精神，团结引领广大团员青年为坚持和完善中国特色社会主义制度、推进国家治理体系和治理能力现代化作贡献。会议强调激发和保持永不懈怠、勇往直前、永久奋斗的精神状态，为决胜全面小康、决战脱贫攻坚贡献青春力量。更多要点，戳↓↓ 共青团十八届四中全会在京举行                                 ,无,无,True,无,无,2020-01-13 16:22,微博 weibo.com,847,386,162
IpsgBrimb,"转发理由:陈少勤今年就满70岁了，她说，我们这一代人吃过苦、受过累，见证了我们国家的改革开放和日新月异。现在，国家越来越强大，人们的生活也越来越富裕，当物质基本满足，我们的精神世界也应该无限地丰富。  
原始用户: 中国青年报
转发内容: 【#人生不设限# #70岁奶奶成当代艺术讲解员#】身材瘦小、走路飞快、讲着一口流利的“福建普通话”，陈少勤是UCCA尤伦斯当代艺术中心志愿讲解员。她初中学历，当过工人，退休后坚持7年学习当代艺术，67岁时成了志愿讲解员，平均每周导览5天，3年来总导览时长2500小时。她说：“我给自己一个不设限的人生，忘记年龄，你可以像毕加索一样心态永远年轻！”乐学无止境 人生不设限 中国青年报的微博视频                     ",无,无,False,无,无,2020-01-14 16:16,无,247,24,13
Ips21x7zc,【00后清华女学霸投身军旅，她说:有些事总要有人去担当】2018年，祁逸菲考入清华大学美术学院，却在大二时隐瞒父母，暂停学业投身军旅。面对家人、战友们的不理解，她说：“不是清华的学生为什么要来当兵，而是想当兵的人考上了清华，有些事总要有人去担当。” 为她点赞中国军视网的微博视频  ,无,无,True,"http://f.video.weibocdn.com/004fC3dKlx07A0bU4CXS01041200J2au0E010.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=62b30a3f061b162e421008955c73f536&Expires=1578996596&ssig=%2FW%2Bt%2F4XLFB&KID=unistore,video",无,2020-01-14 15:39,NEX 3 5G,1083,71,98
IprD0vvSs,【痛心！#2019年427名民警辅警因公牺牲# 】公安队伍是和平年代牺牲最多、奉献最大的队伍，仅2019年全国公安机关就有280名公安民警、147名辅警因公牺牲，6211名公安民警、5699名辅警因公负伤。令人稍感安慰的是2019年的牺牲总人数比2018年有所减少，2020年，希望这个数字越来越少！致敬英雄！  [组图共9张] 原图 ,"http://ww1.sinaimg.cn/large/eaaf2affly1gaw2zbjttwj20go1k24lg.jpg,http://ww1.sinaimg.cn/large/eaaf2affly1gaw2zddil4j20go1l81kx.jpg,http://ww4.sinaimg.cn/large/eaaf2affly1gaw2zfpgj5j20go1o4hdr.jpg,http://ww4.sinaimg.cn/large/eaaf2affly1gaw2zhtputj20go1kitwt.jpg,http://ww3.sinaimg.cn/large/eaaf2affly1gaw2zjrnjyj20go1lway6.jpg,http://ww4.sinaimg.cn/large/eaaf2affly1gaw2zltpt4j20go1kgh8q.jpg,http://ww4.sinaimg.cn/large/eaaf2affly1gaw2zo2ze9j20go1ml7tk.jpg,http://ww3.sinaimg.cn/large/eaaf2affly1gaw2zq4qx6j20go1l3qqf.jpg,http://ww4.sinaimg.cn/large/eaaf2affly1gaw2ztgcipj20go1kv1jq.jpg",无,True,无,无,2020-01-14 14:38,微博 weibo.com,1790,322,353
Ipr542n5m,【闹市抢劫，1小时疯狂作案六起！16岁男孩为何走上歧途？】2019年8月，一系列发生在闹市街头的蒙面抢劫案轰动了湖北省黄石市：一名身材魁梧、穿着怪异的男子，在繁华地段公然持刀抢劫，随着警方的深入调查，案情也浮出水面……↓↓#成长启示录# 共青团中央的微博视频  ,无,无,True,"http://f.video.weibocdn.com/004lt98ulx07A98WpROE01041207zTFm0E030.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=62b30a3f061b162e421008955c73f536&Expires=1578996825&ssig=IJTJ0tC9O1&KID=unistore,video",无,2020-01-14 13:14,微博 weibo.com,575,68,68
IpqyUnEyb,【强强联手！清华北大互相开放部分本科课程】2020年春季学期，@清华大学 《工业系统概论》等12门本科生课程的部分名额向北京大学开放，选课同学成绩记为A类通选学分或全校任选学分，成绩不计入GPA。@北京大学 《公共财政学》等27门本科生通识核心课程的部分名额向清华大学开放，所选课程学分计入清华大学文化素质核心课学分。             [组图共2张]      原图                             ,"http://ww2.sinaimg.cn/large/eaaf2affly1gavy9eoslij20j60wkadg.jpg,http://ww3.sinaimg.cn/large/eaaf2affly1gavy9gl70yj20j62tx121.jpg",无,True,无,无,2020-01-14 11:55,NEX 3 5G,1149,80,102
Ipq7GwB6I,【外交部：青蛙的鼓噪，岂能阻止牛到河边饮水】非洲有一句谚语叫做“青蛙的鼓噪，岂能阻止牛到河边饮水”。不管个别国家或个别人如何攻击抹黑，中方都将始终秉持“共商共建共享”原则，同非方一道，推动高质量共建“一带一路”在非洲走深走实，结出更多硕果，更好造福非洲和非洲人民。央视新闻的微博视频                                 ,无,无,True,无,无,2020-01-14 10:48,NEX 3 5G,1704,169,197
IppV66RQy,【学车必备！科目三注意要点全介绍】科目三考的是开车上路的能力，也是最后一门上车的考试，怎样一次性拿下？有哪些注意要点？戳↓↓分享给假期学驾照的同学吧新华视点的秒拍视频   ,无,无,True,"http://miaopai.video.weibocdn.com/3bq6QSkWlx07uAHWq91K01040200qh2f0E013?Expires=1578997027&ssig=cZS0eIY3%2Fb&KID=unistore,video",无,2020-01-14 10:17,NEX 3 5G,1019,279,299
Ippqij5MB,【今天，缅怀“中国航母之父”，告诉他中国拥有双航母了！】他是中国航母之父，为中国海军现代化发展作出不可磨灭的贡献。他说：“中国不建航母，我死不瞑目。”2011年的今天，刘华清将军与世长辞。转发缅怀，告诉他：如今，中国已进入双航母时代，大国航母梦已经启程，今日海军如您所愿！ （人民网）             [组图共9张]      原图                             ,"http://ww2.sinaimg.cn/large/eaaf2affly1gavt4cnucdj20dw0dwjsq.jpg,http://ww2.sinaimg.cn/large/eaaf2affly1gavt4d5hnxj20dw0dwgn0.jpg,http://ww3.sinaimg.cn/large/eaaf2affly1gavt4doz2kj20dw0dwwfk.jpg,http://ww1.sinaimg.cn/large/eaaf2affly1gavt4e5nngj20dw0dw75p.jpg,http://ww2.sinaimg.cn/large/eaaf2affly1gavt4etmy1j20dw0lo40p.jpg,http://ww1.sinaimg.cn/large/eaaf2affly1gavt4f84acj20dw0dw40h.jpg,http://ww3.sinaimg.cn/large/eaaf2affly1gavt4frwq6j20dw0dwgmu.jpg,http://ww1.sinaimg.cn/large/eaaf2affly1gavt4g4pxsj20dw0dwwfi.jpg,http://ww4.sinaimg.cn/large/eaaf2affly1gavt4ghy42j20dw0dw0ty.jpg",无,True,无,无,2020-01-14 09:01,NEX 3 5G,2392,513,280
Ipp2sBsDU,【自律，是为了让自己能有更多选择】自律或许并不容易，但你越懒惰越放纵自己，就越可能错过美好的人和事。自律的人，看似日子过得如苦行僧般辛苦，却因为这种“辛苦”，获得了更多选择的自由和说“不”的底气。自律赢来的，是你对现实的自主感，是你微笑着面对生活中风风雨雨的勇气。共勉，早安！  [组图共9张] 原图 ,"http://ww2.sinaimg.cn/large/eaaf2affly1gavri7jgt8j20m90m9403.jpg,http://ww2.sinaimg.cn/large/eaaf2affly1gavri7v31uj20m90m9dgs.jpg,http://ww1.sinaimg.cn/large/eaaf2affly1gavri84j0dj20m90m9gmo.jpg,http://ww1.sinaimg.cn/large/eaaf2affly1gavri8ec7nj20m90m9q3s.jpg,http://ww4.sinaimg.cn/large/eaaf2affly1gavri8oieej20m90m9wfl.jpg,http://ww1.sinaimg.cn/large/eaaf2affly1gavri8wq1vj20m90m9gmx.jpg,http://ww4.sinaimg.cn/large/eaaf2affly1gavri97rcmj20m90m9t9l.jpg,http://ww4.sinaimg.cn/large/eaaf2affly1gavri9g6odj20m90m9jsk.jpg,http://ww2.sinaimg.cn/large/eaaf2affly1gavri9uemdj20m90m9wfa.jpg",无,True,无,无,2020-01-14 08:02,NEX 3 5G,1992,772,275
